Bioreactor,Condition,Replicate,Day,Strain,Type,Agar,Count,Dilution_factor
,chemostat,1,0,MG1655,inoculation,LB,223,5
,chemostat,1,0,MG1655,inoculation,RIF,0,1
,chemostat,1,0,R14,inoculation,LB,311,5
,chemostat,1,0,R14,inoculation,RIF,214,5
,chemostat,1,0,R18,inoculation,LB,164,5
,chemostat,1,0,R18,inoculation,RIF,206,5
,chemostat,1,0,R26,inoculation,LB,174,5
,chemostat,1,0,R26,inoculation,RIF,154,5
,chemostat,1,0,CONTROL,inoculation,LB,0,1
,chemostat,1,0,CONTROL,inoculation,RIF,0,1
M0,chemostat,1,1,CONTROL,CONTROL,LB,0,1
M0,chemostat,1,1,CONTROL,CONTROL,RIF,0,1
M1,chemostat,1,1,R14,monoculture,LB,207,5
M1,chemostat,1,1,R14,monoculture,RIF,171,5
M2,chemostat,1,1,R18,monoculture,LB,284,5
M2,chemostat,1,1,R18,monoculture,RIF,265,5
M3,chemostat,1,1,R14,competition,LB,321,5
M3,chemostat,1,1,R14,competition,RIF,143,5
M4,chemostat,1,1,MG1655,monoculture,LB,295,5
M4,chemostat,1,1,MG1655,monoculture,RIF,0,1
M5,chemostat,1,1,R18,competition,LB,258,5
M5,chemostat,1,1,R18,competition,RIF,107,5
M6,chemostat,1,1,R26,monoculture,LB,135,5
M6,chemostat,1,1,R26,monoculture,RIF,143,5
M7,chemostat,1,1,R26,competition,LB,402,5
M7,chemostat,1,1,R26,competition,RIF,0,1
M0,chemostat,1,2,CONTROL,CONTROL,LB,0,1
M0,chemostat,1,2,CONTROL,CONTROL,RIF,0,1
M1,chemostat,1,2,R14,monoculture,LB,300,5
M1,chemostat,1,2,R14,monoculture,RIF,239,5
M2,chemostat,1,2,R18,monoculture,LB,217,5
M2,chemostat,1,2,R18,monoculture,RIF,237,5
M3,chemostat,1,2,R14,competition,LB,264,5
M3,chemostat,1,2,R14,competition,RIF,63,5
M4,chemostat,1,2,MG1655,monoculture,LB,251,5
M4,chemostat,1,2,MG1655,monoculture,RIF,0,1
M5,chemostat,1,2,R18,competition,LB,208,5
M5,chemostat,1,2,R18,competition,RIF,68,5
M6,chemostat,1,2,R26,monoculture,LB,109,5
M6,chemostat,1,2,R26,monoculture,RIF,98,5
M7,chemostat,1,2,R26,competition,LB,243,5
M7,chemostat,1,2,R26,competition,RIF,0,1
M0,chemostat,1,3,CONTROL,CONTROL,LB,0,1
M0,chemostat,1,3,CONTROL,CONTROL,RIF,0,1
M1,chemostat,1,3,R14,monoculture,LB,273,5
M1,chemostat,1,3,R14,monoculture,RIF,195,5
M2,chemostat,1,3,R18,monoculture,LB,256,5
M2,chemostat,1,3,R18,monoculture,RIF,228,5
M3,chemostat,1,3,R14,competition,LB,206,5
M3,chemostat,1,3,R14,competition,RIF,250,4
M4,chemostat,1,3,MG1655,monoculture,LB,271,5
M4,chemostat,1,3,MG1655,monoculture,RIF,0,1
M5,chemostat,1,3,R18,competition,LB,290,5
M5,chemostat,1,3,R18,competition,RIF,261,4
M6,chemostat,1,3,R26,monoculture,LB,123,5
M6,chemostat,1,3,R26,monoculture,RIF,106,5
M7,chemostat,1,3,R26,competition,LB,181,5
M7,chemostat,1,3,R26,competition,RIF,0,1
M0,chemostat,1,4,CONTROL,CONTROL,LB,0,1
M0,chemostat,1,4,CONTROL,CONTROL,RIF,2,1
M1,chemostat,1,4,R14,monoculture,LB,300,5
M1,chemostat,1,4,R14,monoculture,RIF,289,5
M2,chemostat,1,4,R18,monoculture,LB,330,5
M2,chemostat,1,4,R18,monoculture,RIF,317,5
M3,chemostat,1,4,R14,competition,LB,309,5
M3,chemostat,1,4,R14,competition,RIF,312,4
M4,chemostat,1,4,MG1655,monoculture,LB,233,5
M4,chemostat,1,4,MG1655,monoculture,RIF,4,1
M5,chemostat,1,4,R18,competition,LB,341,5
M5,chemostat,1,4,R18,competition,RIF,251,4
M6,chemostat,1,4,R26,monoculture,LB,195,5
M6,chemostat,1,4,R26,monoculture,RIF,218,5
M7,chemostat,1,4,R26,competition,LB,274,5
M7,chemostat,1,4,R26,competition,RIF,0,1
M0,chemostat,1,5,CONTROL,CONTROL,LB,5,1
M0,chemostat,1,5,CONTROL,CONTROL,RIF,2,1
M1,chemostat,1,5,R14,monoculture,LB,253,5
M1,chemostat,1,5,R14,monoculture,RIF,78,5
M2,chemostat,1,5,R18,monoculture,LB,298,5
M2,chemostat,1,5,R18,monoculture,RIF,238,5
M3,chemostat,1,5,R14,competition,LB,206,5
M3,chemostat,1,5,R14,competition,RIF,291,3
M4,chemostat,1,5,MG1655,monoculture,LB,250,5
M4,chemostat,1,5,MG1655,monoculture,RIF,3,1
M5,chemostat,1,5,R18,competition,LB,245,5
M5,chemostat,1,5,R18,competition,RIF,114,4
M6,chemostat,1,5,R26,monoculture,LB,165,5
M6,chemostat,1,5,R26,monoculture,RIF,155,5
M7,chemostat,1,5,R26,competition,LB,224,5
M7,chemostat,1,5,R26,competition,RIF,6,1
M0,chemostat,1,6,CONTROL,CONTROL,LB,0,1
M0,chemostat,1,6,CONTROL,CONTROL,RIF,0,1
M1,chemostat,1,6,R14,monoculture,LB,231,5
M1,chemostat,1,6,R14,monoculture,RIF,68,4
M2,chemostat,1,6,R18,monoculture,LB,256,5
M2,chemostat,1,6,R18,monoculture,RIF,221,5
M3,chemostat,1,6,R14,competition,LB,232,5
M3,chemostat,1,6,R14,competition,RIF,205,3
M4,chemostat,1,6,MG1655,monoculture,LB,188,5
M4,chemostat,1,6,MG1655,monoculture,RIF,0,1
M5,chemostat,1,6,R18,competition,LB,247,5
M5,chemostat,1,6,R18,competition,RIF,389,3
M6,chemostat,1,6,R26,monoculture,LB,158,5
M6,chemostat,1,6,R26,monoculture,RIF,156,5
