Bioreactor,Condition,Replicate,Day,Strain,Type,Agar,Dilution_factor,dot1,dot2,dot3,dot4,dot5,dot6,dot7,dot8,dot9,dot10
,chemostat,2,0,MG1655,inoculation,LB,5,22,21,17,24,24,25,19,25,15,17
,chemostat,2,0,MG1655,inoculation,RIF,1,0,0,0,0,0,0,0,0,0,0
,chemostat,2,0,R14,inoculation,LB,5,27,33,30,25,25,43,34,29,32,31
,chemostat,2,0,R14,inoculation,RIF,5,33,25,36,26,30,27,29,35,39,21
,chemostat,2,0,R18,inoculation,LB,5,10,20,10,13,10,14,19,18,16,
,chemostat,2,0,R18,inoculation,RIF,5,14,14,14,8,13,12,13,10,16,18
,chemostat,2,0,R26,inoculation,LB,5,5,13,13,10,18,23,10,6,4,12
,chemostat,2,0,R26,inoculation,RIF,5,18,14,15,11,9,11,17,13,13,10
,chemostat,2,0,CONTROL,inoculation,LB,1,0,0,0,0,0,0,0,0,0,0
,chemostat,2,0,CONTROL,inoculation,RIF,1,0,0,0,0,0,0,0,0,0,0
M0,chemostat,2,1,R14,competition,LB,5,22,34,36,38,29,38,38,36,30,45
M0,chemostat,2,1,R14,competition,RIF,5,16,7,10,14,9,13,11,11,10,14
M1,chemostat,2,1,R26,competition,LB,5,52,44,29,42,58,50,41,49,41,52
M1,chemostat,2,1,R26,competition,RIF,4,45,32,33,38,43,33,43,29,40,38
M2,chemostat,2,1,MG1655,monoculture,LB,5,44,40,43,21,37,40,39,39,36,39
M2,chemostat,2,1,MG1655,monoculture,RIF,5,2,4,6,7,5,7,4,2,3,5
M3,chemostat,2,1,R26,monoculture,LB,5,23,23,23,21,29,22,25,28,29,37
M3,chemostat,2,1,R26,monoculture,RIF,5,17,27,34,34,21,21,21,27,21,20
M4,chemostat,2,1,R18,monoculture,LB,5,34,29,44,44,31,24,33,36,32,36
M4,chemostat,2,1,R18,monoculture,RIF,5,33,32,31,34,40,27,44,24,39,34
M5,chemostat,2,1,R18,competition,LB,5,43,57,37,30,44,34,46,48,,
M5,chemostat,2,1,R18,competition,RIF,5,15,13,17,22,19,15,16,12,11,17
M6,chemostat,2,1,R14,monoculture,LB,5,26,19,34,30,31,31,25,26,32,38
M6,chemostat,2,1,R14,monoculture,RIF,5,23,37,17,25,22,20,24,31,10,27
M7,chemostat,2,1,CONTROL,CONTROL,LB,5,2,5,1,3,5,3,2,7,2,5
