cell,absorb_600,read_date,read_time,bioreactor
A1,0.2456,26/5/2024,13:00,M0
A2,0.2487,26/5/2024,13:00,M1
A3,0.1358,26/5/2024,13:00,M2
A4,0.2148,26/5/2024,13:00,M3
A5,0.0802,26/5/2024,13:00,M4
A6,0.2185,26/5/2024,13:00,M5
A7,0.2097,26/5/2024,13:00,M6
A8,0.1766,26/5/2024,13:00,M7
A9,0.0828,26/5/2024,13:00,media
A1,,,,
A2,,,,
A3,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
