"experiment_replicate","day","ID","cfu_ul","od_blanked","inflow_setting","outflow_per_hour_mean","dilution_rate","sample"
"dd6",2,"M2",908000,0.146,5e-04,3.125,0.148809523809524,"dd6.2"
"dd6",2,"M3",1018000,0.115,0.0015,10.3125,0.491071428571429,"dd6.2"
"dd6",2,"M4",1146666.66666667,0.17,0.001,6.35416666666667,0.302579365079365,"dd6.2"
"dd6",2,"M7",516000,0.119,0.002,13.9583333333333,0.66468253968254,"dd6.2"
"dd7",2,"M1",666000,0.161,0.001,7.55388841927303,0.359708972346335,"dd7.2"
"dd7",2,"M3",744000,0.138,0.002,11.3293357283742,0.539492177541628,"dd7.2"
"dd7",2,"M6",1e+06,0.154,5e-04,2.93762327416174,0.13988682257913,"dd7.2"
"dd7",2,"M7",1057777.77777778,0.179,0.0015,9.86202099182868,0.469620047229937,"dd7.2"
"dd7",4,"M0",531111.111111111,0.11,0.0025,16.4974992644896,0.785595203070931,"dd7.4"
"dd7",4,"M4",776000,0.173,1e-04,0.828754578754579,0.039464503750218,"dd7.4"
"dd7",4,"M5",59600,0.022,0.003,20.5633629191321,0.979207758053912,"dd7.4"
"dd2",2,"M1",905714.285714286,0.1864,5e-04,4.29787234042553,0.204660587639311,"dd2.2"
"dd2",2,"M2",778000,0.1644,0.001,7.21276595744681,0.343465045592705,"dd2.2"
"dd2",2,"M3",626000,0.1425,0.00125,9.27659574468085,0.441742654508612,"dd2.2"
"dd2",2,"M5",846666.666666667,0.1898,0.00025,2.38297872340426,0.113475177304965,"dd2.2"
"dd2",2,"M6",612000,0.159,0.00075,5.8936170212766,0.2806484295846,"dd2.2"
"dd2",2,"M7",548888.888888889,0.1472,0.0015,11.6382978723404,0.554204660587639,"dd2.2"
"dd3",4,"M7",510000,0.0938,0.0028,18.2864595967586,0.870783790321838,"dd3.4"
"dd3",4,"M5",672000,0.1357,0.0022,15.9834467120181,0.761116510096102,"dd3.4"
"dd3",4,"M0",488000,0.1628,0.0019,15.5163265306122,0.738872691933916,"dd3.4"
"dd3",4,"M1",554000,0.1659,1e-04,1.08639455782313,0.0517330741820538,"dd3.4"
"dd3",4,"M2",123555.555555556,0.053,0.0025,17.7591801578513,0.845675245611964,"dd3.4"
"dd4",2,"M4",478000,0.1329,0.0022,14.6358839704611,0.696946855736242,"dd4.2"
"dd4",4,"M0",116444.444444444,0.0483,0.0028,21.1743959697788,1.00830456998947,"dd4.4"
"dd4",4,"M1",480000,0.1506,1e-04,0.816326530612245,0.0388726919339164,"dd4.4"
"dd4",4,"M2",69800,0.0287,0.003,22.0356946721367,1.04931879391127,"dd4.4"
"dd4",4,"M3",538000,0.1596,5e-05,1.22448979591837,0.0583090379008746,"dd4.4"
"dd4",4,"M5",360000,0.0957,0.0024,18.2196744199232,0.867603543805865,"dd4.4"
"dd4",4,"M7",272000,0.1043,0.0026,16.8079373178876,0.800377967518456,"dd4.4"
