"experiment_replicate","day","ID","cfu_ul","od_blanked","inflow_setting","outflow_per_hour_mean","dilution_rate","inflow_volume","max_volume","dilution_rate_2","sample"
"dd6",1,"M0",44000,NA,0.003,21.7708333333333,1.03670634920635,7.25694444444445,28.2569444444444,0.770459572376505,"dd6.1"
"dd6",1,"M2",674000,NA,5e-04,3.125,0.148809523809524,1.04166666666667,22.0416666666667,0.141776937618147,"dd6.1"
"dd6",1,"M3",540000,NA,0.0015,10.3125,0.491071428571429,3.4375,24.4375,0.421994884910486,"dd6.1"
"dd6",1,"M4",832000,NA,0.001,6.35416666666667,0.302579365079365,2.11805555555556,23.1180555555556,0.274857314508861,"dd6.1"
"dd6",1,"M6",206000,NA,0.0025,16.4583333333333,0.783730158730159,5.48611111111111,26.4861111111111,0.62139486103828,"dd6.1"
"dd6",1,"M7",540000,NA,0.002,13.9583333333333,0.66468253968254,4.65277777777778,25.6527777777778,0.544125609095831,"dd6.1"
"dd6",2,"M0",93400,0.022,0.003,21.7708333333333,1.03670634920635,7.25694444444445,28.2569444444444,0.770459572376505,"dd6.2"
"dd6",2,"M2",908000,0.146,5e-04,3.125,0.148809523809524,1.04166666666667,22.0416666666667,0.141776937618147,"dd6.2"
"dd6",2,"M3",1018000,0.115,0.0015,10.3125,0.491071428571429,3.4375,24.4375,0.421994884910486,"dd6.2"
"dd6",2,"M4",1146666.66666667,0.17,0.001,6.35416666666667,0.302579365079365,2.11805555555556,23.1180555555556,0.274857314508861,"dd6.2"
"dd6",2,"M6",250000,0.074,0.0025,16.4583333333333,0.783730158730159,5.48611111111111,26.4861111111111,0.62139486103828,"dd6.2"
"dd6",2,"M7",516000,0.119,0.002,13.9583333333333,0.66468253968254,4.65277777777778,25.6527777777778,0.544125609095831,"dd6.2"
"dd6",3,"M0",317500,0.028,0.003,21.7708333333333,1.03670634920635,7.25694444444445,28.2569444444444,0.770459572376505,"dd6.3"
"dd6",3,"M2",NA,0.112,5e-04,3.125,0.148809523809524,1.04166666666667,22.0416666666667,0.141776937618147,"dd6.3"
"dd6",3,"M3",1030000,0.071,0.0015,10.3125,0.491071428571429,3.4375,24.4375,0.421994884910486,"dd6.3"
"dd6",3,"M4",NA,0.169,0.001,6.35416666666667,0.302579365079365,2.11805555555556,23.1180555555556,0.274857314508861,"dd6.3"
"dd6",3,"M6",430000,0.074,0.0025,16.4583333333333,0.783730158730159,5.48611111111111,26.4861111111111,0.62139486103828,"dd6.3"
"dd6",3,"M7",648000,0.116,0.002,13.9583333333333,0.66468253968254,4.65277777777778,25.6527777777778,0.544125609095831,"dd6.3"
"dd7",1,"M0",89800,0.029,0.0025,16.4974992644896,0.785595203070931,5.49916642149652,26.4991664214965,0.622566725385993,"dd7.1"
"dd7",1,"M1",660000,0.152,0.001,7.55388841927303,0.359708972346335,2.51796280642434,23.5179628064243,0.321196545867891,"dd7.1"
"dd7",1,"M3",494000,0.131,0.002,11.3293357283742,0.539492177541628,3.7764452427914,24.7764452427914,0.457262356135225,"dd7.1"
"dd7",1,"M4",784444.444444444,0.234,1e-04,0.828754578754579,0.039464503750218,0.276251526251526,21.2762515262515,0.0389520953788324,"dd7.1"
"dd7",1,"M5",7320,0.00299999999999999,0.003,20.5633629191321,0.979207758053912,6.85445430637738,27.8544543063774,0.738243251616101,"dd7.1"
"dd7",1,"M6",794000,0.154,5e-04,2.93762327416174,0.13988682257913,0.979207758053912,21.9792077580539,0.133654647906283,"dd7.1"
"dd7",1,"M7",602000,0.171,0.0015,9.86202099182868,0.469620047229937,3.28734033060956,24.2873403306096,0.406056029914461,"dd7.1"
"dd7",2,"M0",370000,0.083,0.0025,16.4974992644896,0.785595203070931,5.49916642149652,26.4991664214965,0.622566725385993,"dd7.2"
"dd7",2,"M1",666000,0.161,0.001,7.55388841927303,0.359708972346335,2.51796280642434,23.5179628064243,0.321196545867891,"dd7.2"
"dd7",2,"M3",744000,0.138,0.002,11.3293357283742,0.539492177541628,3.7764452427914,24.7764452427914,0.457262356135225,"dd7.2"
"dd7",2,"M4",1348000,0.218,1e-04,0.828754578754579,0.039464503750218,0.276251526251526,21.2762515262515,0.0389520953788324,"dd7.2"
"dd7",2,"M5",31000,0.00399999999999999,0.003,20.5633629191321,0.979207758053912,6.85445430637738,27.8544543063774,0.738243251616101,"dd7.2"
"dd7",2,"M6",1e+06,0.154,5e-04,2.93762327416174,0.13988682257913,0.979207758053912,21.9792077580539,0.133654647906283,"dd7.2"
"dd7",2,"M7",1057777.77777778,0.179,0.0015,9.86202099182868,0.469620047229937,3.28734033060956,24.2873403306096,0.406056029914461,"dd7.2"
"dd7",3,"M0",386000,0.119,0.0025,16.4974992644896,0.785595203070931,5.49916642149652,26.4991664214965,0.622566725385993,"dd7.3"
"dd7",3,"M1",1234285.71428571,0.161,0.001,7.55388841927303,0.359708972346335,2.51796280642434,23.5179628064243,0.321196545867891,"dd7.3"
"dd7",3,"M4",744000,0.193,1e-04,0.828754578754579,0.039464503750218,0.276251526251526,21.2762515262515,0.0389520953788324,"dd7.3"
"dd7",3,"M5",41400,0.017,0.003,20.5633629191321,0.979207758053912,6.85445430637738,27.8544543063774,0.738243251616101,"dd7.3"
"dd7",3,"M6",772500,0.153,5e-04,2.93762327416174,0.13988682257913,0.979207758053912,21.9792077580539,0.133654647906283,"dd7.3"
"dd7",3,"M7",1285000,0.197,0.0015,9.86202099182868,0.469620047229937,3.28734033060956,24.2873403306096,0.406056029914461,"dd7.3"
