"experiment_replicate","day","ID","cfu_ul","od_blanked","inflow_setting","outflow_per_hour_mean","dilution_rate","inflow_volume","max_volume","dilution_rate_2","n"
"dd6",3,"M0",317500,0.028,0.003,21.7708333333333,1.03670634920635,7.25694444444445,28.2569444444444,0.770459572376505,1
"dd6",3,"M2",NA,0.112,5e-04,3.125,0.148809523809524,1.04166666666667,22.0416666666667,0.141776937618147,1
"dd6",3,"M3",1030000,0.071,0.0015,10.3125,0.491071428571429,3.4375,24.4375,0.421994884910486,1
"dd6",3,"M4",NA,0.169,0.001,6.35416666666667,0.302579365079365,2.11805555555556,23.1180555555556,0.274857314508861,1
"dd6",3,"M6",430000,0.074,0.0025,16.4583333333333,0.783730158730159,5.48611111111111,26.4861111111111,0.62139486103828,1
"dd6",3,"M7",648000,0.116,0.002,13.9583333333333,0.66468253968254,4.65277777777778,25.6527777777778,0.544125609095831,1
"dd7",3,"M0",386000,0.119,0.0025,16.4974992644896,0.785595203070931,5.49916642149652,26.4991664214965,0.622566725385993,1
"dd7",3,"M1",1234285.71428571,0.161,0.001,7.55388841927303,0.359708972346335,2.51796280642434,23.5179628064243,0.321196545867891,1
"dd7",3,"M4",744000,0.193,1e-04,0.828754578754579,0.039464503750218,0.276251526251526,21.2762515262515,0.0389520953788324,1
"dd7",3,"M5",41400,0.017,0.003,20.5633629191321,0.979207758053912,6.85445430637738,27.8544543063774,0.738243251616101,1
"dd7",3,"M6",772500,0.153,5e-04,2.93762327416174,0.13988682257913,0.979207758053912,21.9792077580539,0.133654647906283,1
"dd7",3,"M7",1285000,0.197,0.0015,9.86202099182868,0.469620047229937,3.28734033060956,24.2873403306096,0.406056029914461,1
"dd4",3,"M0",102200,0.0347,0.0028,21.1743959697788,1.00830456998947,7.05813198992626,28.0581319899263,0.754661642385211,1
"dd4",3,"M1",428000,0.1654,1e-04,0.816326530612245,0.0388726919339164,0.272108843537415,21.2721088435374,0.0383754397185801,1
"dd4",3,"M2",74600,0.0266,0.003,22.0356946721367,1.04931879391127,7.34523155737891,28.3452315573789,0.777403939266826,1
"dd4",3,"M3",465000,0.1846,5e-05,1.22448979591837,0.0583090379008746,0.408163265306122,21.4081632653061,0.0571973307912297,1
"dd4",3,"M4",410000,0.0917,0.0022,14.6358839704611,0.696946855736242,4.8786279901537,25.8786279901537,0.565558729621591,1
"dd4",3,"M5",262000,0.0626,0.0024,18.2196744199232,0.867603543805865,6.07322480664106,27.0732248066411,0.672977620880018,1
"dd4",3,"M7",6e+05,0.129,0.0026,16.8079373178876,0.800377967518456,5.60264577262919,26.6026457726292,0.631814499262357,1
